,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1018275052779864064,1018275052779864064,1531610665000.0,2018-07-14 16:24:25,-0800,,It's world Cup final day but there's no hype like what's Vida going to do to stop Mbappe? 😭😭 I need the energy for this final to feel like a final #WorldCup #WorldCupFinal,en,"['worldcup', 'worldcupfinal']",[],926862517787353094,926862517787353094,shahirg_,شهير,6,16,https://twitter.com/shahirg_/status/1018275052779864064,[],[],0,,False,2,1,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1018131579988795392,1018131579988795392,1531576459000.0,2018-07-14 06:54:19,-0800,,"Djokovic pls win, England game's about to start 🙏🏽🙏🏽🙏🏽 #WorldCup #Wimbeldon #DjokovicVsNadal #BELENG",en,"['worldcup', 'wimbeldon', 'djokovicvsnadal', 'beleng']",[],926862517787353094,926862517787353094,shahirg_,شهير,6,06,https://twitter.com/shahirg_/status/1018131579988795392,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1018123633447890945,1018123633447890945,1531574564000.0,2018-07-14 06:22:44,-0800,,"One last time, we go again #ENG #BELENG #WorldCup",en,"['eng', 'beleng', 'worldcup']",[],926862517787353094,926862517787353094,shahirg_,شهير,6,06,https://twitter.com/shahirg_/status/1018123633447890945,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1017766495038988288,1017766495038988288,1531489416000.0,2018-07-13 06:43:36,-0800,,"BrUH , QATAR! WHAT IS U DOINGGGG?? I want a summer world Cup in the scorching 50°C heat #Qatar2022 #WorldCup  https://t.co/jJhKEz4F6Z",en,"['qatar2022', 'worldcup']",[],926862517787353094,926862517787353094,shahirg_,شهير,5,06,https://twitter.com/shahirg_/status/1017766495038988288,[],['https://pbs.twimg.com/media/Dh_VOphX0AAJsAF.jpg'],1,https://pbs.twimg.com/media/Dh_VOphX0AAJsAF.jpg,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1017008363073429505,1017008363073429505,1531308663000.0,2018-07-11 04:31:03,-0800,,"110% gassed for today, InSha'Allah Sterling scores and Maguire KO's Mandzukic #ENG #WorldCup",en,"['eng', 'worldcup']",[],926862517787353094,926862517787353094,shahirg_,شهير,3,04,https://twitter.com/shahirg_/status/1017008363073429505,[],[],0,,False,1,1,0,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1015700135181987840,1015700135181987840,1530996757000.0,2018-07-07 13:52:37,-0800,,England vs Croatia on Wednesday! #ENG #CRO #WorldCup,en,"['eng', 'cro', 'worldcup']",[],926862517787353094,926862517787353094,shahirg_,شهير,6,13,https://twitter.com/shahirg_/status/1015700135181987840,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1015628489825898497,1015628489825898497,1530979676000.0,2018-07-07 09:07:56,-0800,,"Only real England fans understand the joy of this tournament, so many years of pain playing 4 4 2 with dead players like Heskey and Rob Green, this team is a different class #ENG #WorldCup",en,"['eng', 'worldcup']",[],926862517787353094,926862517787353094,shahirg_,شهير,6,09,https://twitter.com/shahirg_/status/1015628489825898497,[],[],0,,False,5,1,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1015615562695827456,1015615562695827456,1530976594000.0,2018-07-07 08:16:34,-0800,,I can hear my whole street screaming! #ENG #WorldCup,en,"['eng', 'worldcup']",[],926862517787353094,926862517787353094,shahirg_,شهير,6,08,https://twitter.com/shahirg_/status/1015615562695827456,[],[],0,,False,1,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1015613334958243841,1015613334958243841,1530976062000.0,2018-07-07 08:07:42,-0800,,Maguire &gt;&gt;&gt; Moore Trippier &gt;&gt;&gt; Beckham JLingz &gt;&gt;&gt; Lampard #ENG #SWEENG #WorldCup,en,"['eng', 'sweeng', 'worldcup']",[],926862517787353094,926862517787353094,shahirg_,شهير,6,08,https://twitter.com/shahirg_/status/1015613334958243841,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1015611893011091457,1015611893011091457,1530975719000.0,2018-07-07 08:01:59,-0800,,"Bring Vardy and Rashford on in last 10 min, finish them off #WorldCup #ENG",en,"['worldcup', 'eng']",[],926862517787353094,926862517787353094,shahirg_,شهير,6,08,https://twitter.com/shahirg_/status/1015611893011091457,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
10,1015609411757314050,1015609411757314050,1530975127000.0,2018-07-07 07:52:07,-0800,,Sterling has EVERYTHING except scoring goals #ENG #WorldCup,en,"['eng', 'worldcup']",[],926862517787353094,926862517787353094,shahirg_,شهير,6,07,https://twitter.com/shahirg_/status/1015609411757314050,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
11,1015605164143796225,1015605164143796225,1530974114000.0,2018-07-07 07:35:14,-0800,,"Aigh once again, Henderson is not Gerrard, just pass sideways and calm down #ENG #WorldCup",en,"['eng', 'worldcup']",[],926862517787353094,926862517787353094,shahirg_,شهير,6,07,https://twitter.com/shahirg_/status/1015605164143796225,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
12,1015596422308220928,1015596422308220928,1530972030000.0,2018-07-07 07:00:30,-0800,,I've never felt more English! #ENG #SWEENG #WorldCup,en,"['eng', 'sweeng', 'worldcup']",[],926862517787353094,926862517787353094,shahirg_,شهير,6,07,https://twitter.com/shahirg_/status/1015596422308220928,[],[],0,,False,1,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
